"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameSizeRadius0To10_i","AnzahlSameSizeRadius10To30_i","AnzahlSameSizeRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 3 Kinderfahrrad blau mit Klingel","1020 Wien, 02. Bezirk, Leopoldstadt","Zuletzt geändert:,26.06.2024, 08:06 Uhr","€ 365","Privatperson","Blau,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-blau-mit-klingel-1074683672/",530,365,1020,"1020 Wien",3,"Blau","2024-06-26 08:06:00",1719389160,0,"used",0,0,1020,48.20642055,16.4327785094205,123,177,128,0,5.89989735358249,0.0491803278688525,"Blau","used"
"Woom 3","2440 Gramatneusiedl","Zuletzt geändert:,26.06.2024, 07:57 Uhr","€ 399","Privatperson","bis 16 Zoll,Blau,Neuwertig,Selbstabholung, Versand","Abzugeben ein Woom Kinderfahrrad in Blau mit Zubehör. Feb. 2024 Service mit RE durchgeführt und sämtliche. Verschleißteile erneuert.Als Goddy gibt es den Helm von Woom in blau noch dazu.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1943951580/",531,399,2440,"2440 Gramatneusiedl",3,"Blau","2024-06-26 07:57:00",1719388620,0,"as good as new",1,0,2440,48.0176784303732,16.4677635641509,4,279,166,1,5.98896141688986,0.0802139037433155,"Blau","as good as new"
"Woom 4 BLAU","Leoben, Steiermark","Zuletzt geändert:,26.06.2024, 05:47 Uhr","€ 400","","Kettenschaltung,Scheibenbremse,Blau,Gebraucht,Selbstabholung","Gut erhaltenes Kinderfahrrad der Marke Woom","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-blau-2012729813/",533,400,NA,"Leoben",4,"Blau","2024-06-26 05:47:00",1719380820,0,"used",0,1,8700,47.3668084,15.094635,1,4,56,0,5.99146454710798,0.857142857142857,"Blau","used"
"Woom 4 Kinderfahrrad ab 6 Jahre alt bis10 Jahre alt","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,25.06.2024, 23:32 Uhr","€ 390","Privatperson","Kettenschaltung,Scheibenbremse,36 cm,20 Zoll,Gelb,Gebraucht,Selbstabholung, Versand","Kinderfahrrad Woom 4","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-ab-6-jahre-alt-bis10-jahre-alt-1381714399/",535,390,1210,"1210 Wien",4,"Gelb","2024-06-25 23:32:00",1719358320,0,"used",1,0,1210,48.2678639,16.3845716,86,163,156,1,5.96614673912369,0.0601202404809619,"Gelb","used"
"Woom 3 lila gekauft Ende 2022","Gänserndorf, Niederösterreich","Zuletzt geändert:,30.06.2024, 07:54 Uhr","€ 345","","Felgenbremse,bis 16 Zoll,Violett,Gebraucht,Selbstabholung","Verkaufen unser geliebtes Woom 3 in lila wegen Umstieg auf Gr 4. Es wurde Ende 2022 neu gekauft, ist voll funktionsfähig. Es weißt die üblichen Gebrauchsspuren auf, siehe Fotos.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-gekauft-ende-2022-1295263516/",538,345,NA,"Gänserndorf",3,"Violett","2024-06-30 07:54:00",1719734040,0,"used",0,1,2230,48.33924225064,16.7257945408338,0,148,220,0,5.84354441703136,0.116279069767442,"Violett","used"
"WOOM 3 lila","Kirchdorf an der Krems, Oberösterreich","Zuletzt geändert:,06.07.2024, 19:02 Uhr","€ 350","","bis 35 cm,18 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-1320382564/",539,350,NA,"Kirchdorf an der Krems",3,"Violett","2024-07-06 19:02:00",1720292520,0,"used",0,1,4560,47.9074313,14.1254102958433,0,23,85,0,5.85793315448346,0.458015267175572,"Violett","used"
"Woom 3","Melk, Niederösterreich","Zuletzt geändert:,25.06.2024, 20:59 Uhr","€ 335","","Rot,Gebraucht,Selbstabholung","16 Zoll","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-959326308/",540,335,NA,"Melk",3,"Rot","2024-06-25 20:59:00",1719349140,0,"used",0,1,3390,48.2229369236241,15.3358860448023,0,13,71,0,5.81413053182507,0.618556701030928,"Rot","used"
"Woom 3","1220 Wien, 22. Bezirk, Donaustadt","Zuletzt geändert:,25.06.2024, 21:01 Uhr","€ 380","Privatperson","Violett,Gebraucht,Selbstabholung","Verkaufe voll funktionstüchtiges Woom 3.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1615467994/",541,380,1220,"1220 Wien",3,"Violett","2024-06-25 21:01:00",1719349260,0,"used",0,0,1220,48.2152329,16.4840611,97,164,158,0,5.94017125272043,0.0561797752808989,"Violett","used"
"Woom ORIGINAL 3 Kinderfahrad in Rot mit Seitenständer & Klingel - wie neu","1140 Wien, 14. Bezirk, Penzing","Zuletzt geändert:,26.06.2024, 17:03 Uhr","€ 349","Privatperson","Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-kinderfahrad-in-rot-mit-seitenstaender-klingel-wie-neu-2005859578/",543,349,1140,"1140 Wien",3,"Rot","2024-06-26 17:03:00",1719421380,0,"as good as new",0,0,1140,48.2047495391897,16.2637909521759,91,192,178,1,5.85507192220243,0.0541516245487365,"Rot","as good as new"
"Woom 3 SRAM Automatix","3300 Amstetten","Zuletzt geändert:,29.06.2024, 07:03 Uhr","€ 390","Privatperson","Nabenschaltung,Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Verkaufen gebrauchtes Woom 3 ist nicht das aktuelle Modell sondern das Vorletzte mit dem Mitlaufendem Kettenschutz. Hab dann durch Zufall eine Hinterradfelge mit der 2gang automatik schaltung gekauft und sie in das Fahrrad eingebaut funktioniert einwandfrei. Wenn die Trettfrequenz zunimmt schaltet das Hinterrad automatisch in den zweiten Gang und die kleinen strampeln sich nicht mehr so ab, und wenn ein leichter Anstieg kommt, und die Trettfrequenz wieder abnimmt schaltet das Hinterrad automatisch wieder in den ersten Gang.Haben so Ausfahrten von bis zu 15 km geschafft. Bemerkung am Rande dieses Modell mit dem mitlaufenden Kettenschutz hat es von woom original gar nicht gegeben, wurde von mir umgebaut es waren ein paar kleine Modifikation an der Nabe zu machen das sie in dieses Rad reingepasst hat","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-sram-automatix-1773814158/",544,390,3300,"3300 Amstetten",3,"Rot","2024-06-29 07:03:00",1719644580,0,"used",0,0,3300,48.1097856292343,14.8603687728276,1,16,54,1,5.96614673912369,0.652173913043478,"Rot","used"
"(reserviert) Woom 5","Hallein, Salzburg","Zuletzt geändert:,03.07.2024, 16:30 Uhr","€ 400","","Kettenschaltung,Felgenbremse,bis 35 cm,24 Zoll,Grau,Gebraucht,Selbstabholung, Versand","Verkaufe woom bike unserer Tochter mit Klingel und Ständer","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-841056169/",546,400,NA,"Hallein",5,"Andere","2024-07-03 16:30:00",1720024200,0,"used",1,1,5400,47.6925002970388,13.0943068904459,0,13,85,0,5.99146454710798,0.54054054054054,"Andere","used"
"Woom 2, guter Zustand - Pickerl können leicht entfernt werden","Imst, Tirol","Zuletzt geändert:,25.06.2024, 18:19 Uhr","€ 300","","Rot,Gebraucht,Selbstabholung","Verkaufen unser Woom 2, wegen Umstieg auf Woom 3.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-guter-zustand-pickerl-koennen-leicht-entfernt-werden-1462051390/",550,300,NA,"Imst",2,"Rot","2024-06-25 18:19:00",1719339540,0,"used",0,1,6460,47.2369835634626,10.7375255842278,1,12,8,0,5.7037824746562,1.57894736842105,"Rot","used"
"Woom 4","Reutte, Tirol","Zuletzt geändert:,25.06.2024, 13:38 Uhr","€ 350","","Kettenschaltung,Blau,Gebraucht,Selbstabholung","Das Rad hat ein paar Gebrauchtspuren (trotz Erstbesitz) und wird mit Schutzblechen, Ständer und Klingel verkauft.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-1996711749/",555,350,NA,"Reutte",4,"Blau","2024-06-25 13:38:00",1719322680,0,"used",0,1,6600,47.48062275,10.7178360148101,0,6,12,0,5.85793315448346,2.5,"Blau","used"
"Woom 4 lila","Vöcklabruck, Oberösterreich","Zuletzt geändert:,25.06.2024, 13:58 Uhr","€ 400","","Violett,Gebraucht,Selbstabholung","Biete ein Kinderfahrrad der Marke Woom an.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-lila-1935229594/",556,400,NA,"Vöcklabruck",4,"Violett","2024-06-25 13:58:00",1719323880,0,"used",0,1,4840,48.0198599,13.649025,5,23,69,0,5.99146454710798,0.413793103448276,"Violett","used"
"woom ORIGINAL 5","2320 Rauchenwarth","Zuletzt geändert:,25.06.2024, 10:14 Uhr","€ 510","Privatperson","24 Zoll,Blau,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-5-1683824281/",558,510,2320,"2320 Rauchenwarth",5,"Blau","2024-06-25 10:14:00",1719310440,0,"used",0,0,2320,48.1379465340149,16.4744754346982,58,289,102,0,6.23441072571837,0.0583657587548638,"Blau","used"
"Woom 3 Rot inkl. Fahrradständer","Mödling, Niederösterreich","Zuletzt geändert:,02.07.2024, 14:07 Uhr","€ 280","","Felgenbremse,40 cm,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Vekaufe gern gefahrenes Woom 3 in Rot, das Fahhrad war immer in der Hütte und keinen Witterung ausgesetzt.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-inkl-fahrradstaender-992661780/",559,280,NA,"Mödling",3,"Rot","2024-07-02 14:07:00",1719929220,0,"used",0,1,2340,48.0830407148611,16.2908222993186,57,178,202,0,5.63478960316925,0.0666666666666667,"Rot","used"
"Woom 3","Gmunden, Oberösterreich","Zuletzt geändert:,27.06.2024, 06:17 Uhr","€ 350","","Blau,Gebraucht,Selbstabholung","Wir verkaufen unser Woom 3, weil wir auf die nächste Größe umgestiegen sind.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1821390730/",560,350,NA,"Gmunden",3,"Blau","2024-06-27 06:17:00",1719469020,0,"used",0,1,4810,47.9071809,13.8079245,0,47,55,0,5.85793315448346,0.402684563758389,"Blau","used"
"woom ORIGINAL 5","Rohrbach, Oberösterreich","Zuletzt geändert:,25.06.2024, 09:18 Uhr","€ 500","","Kettenschaltung,Felgenbremse,24 Zoll,Türkis,Neuwertig,Selbstabholung","Allround-Kinderfahrrad woom ORIGINAL 5 in mint green zu verkaufen, einwandfreier Zustand - siehe Bilder, für Kinder ab ca. 7 Jahren (ab ca. 125 cm Körpergröße), mit 8-Gang-Schaltung, alle Details auf der Website von woom, kein Versand - ausschließlich Abholung oder Übergabe im Umkreis","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-5-1181237532/",562,500,NA,"Rohrbach",5,"Andere","2024-06-25 09:18:00",1719307080,0,"as good as new",0,1,3163,48.051353974714,15.7461731065894,1,21,320,0,6.21460809842219,0.16304347826087,"Andere","as good as new"
"Woom 3 voll ausgestattet","Leibnitz, Steiermark","Zuletzt geändert:,26.06.2024, 16:42 Uhr","€ 350","","Violett,Gebraucht,Selbstabholung","Woom 3, Neupreis €509,- Rechnung vorhanden","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-voll-ausgestattet-1073118670/",563,350,NA,"Leibnitz",3,"Violett","2024-06-26 16:42:00",1719420120,0,"used",0,1,8430,46.76385315,15.5774974462665,1,5,62,0,5.85793315448346,0.769230769230769,"Violett","used"
"Woom 3","1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus","Zuletzt geändert:,25.06.2024, 09:07 Uhr","€ 300","Privatperson","Gelb,Gebraucht,Selbstabholung","Verkauft wird ein Woom 3 Kinderfahrrad in der Farbe gelb mit Klingel und Seitenständer.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1225793955/",565,300,1150,"1150 Wien",3,"Gelb","2024-06-25 09:07:00",1719306420,0,"used",0,0,1150,48.1947304374963,16.3272146894668,144,134,181,0,5.7037824746562,0.0456968773800457,"Gelb","used"
"Woom 3 Fahrrad - Erstbesitz","Baden, Niederösterreich","Zuletzt geändert:,25.06.2024, 08:12 Uhr","€ 339","","Grün,Gebraucht,Selbstabholung","Sehr gepflegt, Erstbesitz","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-fahrrad-erstbesitz-1800083995/",569,339,NA,"Baden",3,"Grün","2024-06-25 08:12:00",1719303120,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,1,5.82600010738045,0.087463556851312,"Grün","used"
"Woom 1 Plus inkl. Ständer und CarKlingel Erstbesitz","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,25.06.2024, 07:57 Uhr","€ 220","","bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Woom 1 Plus Laufrad, top Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1-plus-inkl-staender-und-carklingel-erstbesitz-1066568549/",570,220,NA,"Bruck an der Leitha",1,"Blau","2024-06-25 07:57:00",1719302220,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,0,5.39362754635236,0.136674259681093,"Blau","used"
"Woom Rad gr. 3","Braunau am Inn, Oberösterreich","Zuletzt geändert:,25.06.2024, 08:17 Uhr","€ 370","","Gelb,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-rad-gr-3-1033905048/",571,370,NA,"Braunau am Inn",3,"Gelb","2024-06-25 08:17:00",1719303420,0,"as good as new",0,1,5280,48.256763,13.0384524,2,5,57,0,5.91350300563827,0.759493670886076,"Gelb","as good as new"
"Woom 3","Eferding, Oberösterreich","Zuletzt geändert:,25.06.2024, 07:22 Uhr","€ 370","","bis 16 Zoll,Blau,Gebraucht,Selbstabholung, Versand","Verkaufe Woom 3 gut erhalten. Mit Klingel, Ständer und Kotflügel.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-897825840/",572,370,NA,"Eferding",3,"Blau","2024-06-25 07:22:00",1719300120,0,"used",1,1,4070,48.3068882661504,14.0102130134263,0,17,88,0,5.91350300563827,0.491803278688525,"Blau","used"
"Woom 1 Laufrad blau","4600 Wels","Zuletzt geändert:,25.06.2024, 06:15 Uhr","€ 190","Privatperson","Blau,Gebraucht,Selbstabholung, Versand","Gut erhalten","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1-laufrad-blau-1740996149/",573,190,4600,"4600 Wels",1,"Blau","2024-06-25 06:15:00",1719296100,0,"used",1,0,4600,48.1670336,14.0205157,0,24,80,1,5.24702407216049,0.46875,"Blau","used"
"Kinder Fahrrad Woom 3","1140 Wien, 14. Bezirk, Penzing","Zuletzt geändert:,24.06.2024, 23:08 Uhr","€ 350","Privatperson","Kettenschaltung,Felgenbremse,42 cm,bis 16 Zoll,Gelb,Neuwertig,Selbstabholung","Ich verkaufe den Kinderfahrad der Marke Woom, Größe 3, von 105 -120 cm großes Kind, mit dem Gewicht 5,4 kg. Belastbar mit max. 60 kg. Version mit Glocke, Kettenschutz, Kotflügel, Seiten Ständer. Sehr guter Zustand, wurde wegen der Krankheit fast nicht benutzt.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-fahrrad-woom-3-1980238606/",575,350,1140,"1140 Wien",3,"Gelb","2024-06-24 23:08:00",1719270480,0,"as good as new",0,0,1140,48.2047495391897,16.2637909521759,91,192,178,0,5.85793315448346,0.0541516245487365,"Gelb","as good as new"
"Woom 5","Hallein, Salzburg","Zuletzt geändert:,24.06.2024, 21:25 Uhr","€ 500","","Kettenschaltung,Scheibenbremse,24 Zoll,Türkis,Gebraucht,Selbstabholung","Verkaufen super erhaltenes Woom 5 in Türkis.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-1364661198/",578,500,NA,"Hallein",5,"Andere","2024-06-24 21:25:00",1719264300,0,"used",0,1,5400,47.6925002970388,13.0943068904459,0,13,85,0,6.21460809842219,0.54054054054054,"Andere","used"
"Woom 4 Fahrrad","Deutschlandsberg, Steiermark","Zuletzt geändert:,03.07.2024, 05:43 Uhr","€ 375","","Blau,Gebraucht,Selbstabholung","Farbe blau, mit Ständer, kaum gebraucht","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-fahrrad-1481170409/",583,375,NA,"Deutschlandsberg",4,"Blau","2024-07-03 05:43:00",1719985380,0,"used",0,1,8530,46.85069125,15.1575998789822,1,23,55,0,5.92692602597041,0.560747663551402,"Blau","used"
"Woom Originial 3 purple haze","Baden, Niederösterreich","Zuletzt geändert:,24.06.2024, 18:24 Uhr","€ 329","","Violett,Gebraucht,Selbstabholung","Zum Verkauf steht ein Original Woom 3 purple haze Fahrrad inkl. Bing Fahrradklingel und Leggie Seitenständer. Das Fahrrad ist einem einwandfreien Zustand ( Gebrauchsspuren siehe Bilder ).","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-originial-3-purple-haze-1386773218/",586,329,NA,"Baden",3,"Violett","2024-06-24 18:24:00",1719253440,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,1,5.79605775076537,0.087463556851312,"Violett","used"
"Woom 2","6290 Schwendau","Zuletzt geändert:,01.07.2024, 21:34 Uhr","€ 300","","Gelb,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1820497571/",587,300,6290,"6290 Schwendau",2,"Gelb","2024-07-01 21:34:00",1719869640,0,"used",1,1,6290,47.1660825504002,11.8686286682471,0,18,35,0,5.7037824746562,0.845070422535211,"Gelb","used"
"Woom 3","Korneuburg, Niederösterreich","Zuletzt geändert:,28.06.2024, 06:36 Uhr","€ 285","","Felgenbremse,Blau,Gebraucht,Selbstabholung","Geben unser Woom 3 ab- Garagenfahrzeug","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1030704216/",592,285,NA,"Korneuburg",3,"Blau","2024-06-28 06:36:00",1719556560,0,"used",0,1,2100,48.3660693284712,16.3225613038421,9,259,134,0,5.65248918026865,0.084985835694051,"Blau","used"
"Woom 4, Erstbesitz","9771 Berg","Zuletzt geändert:,24.06.2024, 13:58 Uhr","€ 440","Privatperson","Kettenschaltung,Felgenbremse,51 cm,20 Zoll,Gelb,Neuwertig,Selbstabholung","Allround-Kinderfahrrad in 20 Zoll für Kinder ab sechs Jahren mit verstellbarem Vario-Vorbau und 7-Gang-Schaltung. Mit Kotflügel vorne und hinten.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-erstbesitz-2085457645/",595,440,9771,"9771 Berg",4,"Gelb","2024-06-24 13:58:00",1719237480,0,"as good as new",0,0,9771,46.7465546683067,13.1373770487654,0,22,6,0,6.08677472691231,1.2,"Gelb","as good as new"
"Woom 3, Erstbesitz","9771 Berg","Zuletzt geändert:,24.06.2024, 13:59 Uhr","€ 350","Privatperson","bis 35 cm,bis 16 Zoll,Violett,Neuwertig,Selbstabholung","Superleichtes Allround-Kinderfahrrad in 16 Zoll für Kinder ab vier Jahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-erstbesitz-1427505202/",596,350,9771,"9771 Berg",3,"Violett","2024-06-24 13:59:00",1719237540,0,"as good as new",0,0,9771,46.7465546683067,13.1373770487654,0,22,6,0,5.85793315448346,1.2,"Violett","as good as new"
"Stuff 16"" Ähnlich Woom 2","9344 Zammelsberg","Zuletzt geändert:,24.06.2024, 12:45 Uhr","€ 200","Privatperson","bis 16 Zoll,Grün,Gebraucht,Selbstabholung, Versand","Stuff LW. ca. 5,5 kg","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/stuff-16-aehnlich-woom-2-1001745435/",598,200,9344,"9344 Zammelsberg",2,"Grün","2024-06-24 12:45:00",1719233100,0,"used",1,0,9344,46.8415912,14.171317725,0,9,38,0,5.29831736654804,1.07142857142857,"Grün","used"
"Woom 3 mit Ständer und Klingel","9020 Klagenfurt","Zuletzt geändert:,24.06.2024, 13:40 Uhr","€ 350","Privatperson","bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-mit-staender-und-klingel-775802522/",599,350,9020,"9020 Klagenfurt",3,"Grün","2024-06-24 13:40:00",1719236400,0,"used",0,0,9020,46.6230809192316,14.302588703974,3,5,15,0,5.85793315448346,1.3953488372093,"Grün","used"
"Woom 3 sky blue","Mistelbach, Niederösterreich","Zuletzt geändert:,24.06.2024, 12:44 Uhr","€ 350","","Felgenbremse,bis 16 Zoll,Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-sky-blue-1208674905/",600,350,NA,"Mistelbach",3,"Blau","2024-06-24 12:44:00",1719233040,0,"as good as new",0,1,2130,48.5451241,16.5344475827696,0,63,239,0,5.85793315448346,0.164383561643836,"Blau","as good as new"
"woom ORIGINAL 3 - Kinderfahrrad sky blue / Top-Zustand","1030 Wien, 03. Bezirk, Landstraße","Zuletzt geändert:,24.06.2024, 11:32 Uhr","€ 450","Privatperson","Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-kinderfahrrad-sky-blue-top-zustand-1783136095/",605,450,1030,"1030 Wien",3,"Blau","2024-06-24 11:32:00",1719228720,0,"as good as new",0,0,1030,48.1995445102805,16.3922565028478,167,140,139,0,6.10924758276437,0.0422237860661506,"Blau","as good as new"
"Top Kinder Fahrrad woom 3 16 Zoll blue sehr gute Zustand","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,24.06.2024, 10:02 Uhr","€ 330","Privatperson","Nabenschaltung,Trommelbremse,bis 35 cm,bis 16 Zoll,Blau,Neuwertig,Selbstabholung, Versand","Kinder Fahrrad woom 3 16 Zoll blue","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/top-kinder-fahrrad-woom-3-16-zoll-blue-sehr-gute-zustand-2112296060/",615,330,1210,"1210 Wien",3,"Blau","2024-06-24 10:02:00",1719223320,0,"as good as new",1,0,1210,48.2678639,16.3845716,86,163,156,0,5.79909265446053,0.0601202404809619,"Blau","as good as new"
"Woom 5","3400 Kierling","Zuletzt geändert:,24.06.2024, 07:33 Uhr","€ 500","Privatperson","Rot,Gebraucht,Selbstabholung","Rotes Woom 5 Bike inkl Gepäckträger und Ständer zu verkaufen. Nur wenig benutzt,war auch immer in der Garage","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-1535029990/",624,500,3400,"3400 Kierling",5,"Rot","2024-06-24 07:33:00",1719214380,0,"used",0,0,3400,48.295823802606,16.3254259436581,84,162,186,0,6.21460809842219,0.0591715976331361,"Rot","used"
"Woom Original 4 lila","Zell am See, Salzburg","Zuletzt geändert:,23.06.2024, 22:12 Uhr","€ 400","","Kettenschaltung,Felgenbremse,20 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-4-lila-1978126345/",631,400,NA,"Zell am See",4,"Violett","2024-06-23 22:12:00",1719180720,0,"used",0,1,5700,47.310018,12.8172528004515,1,5,49,0,5.99146454710798,0.923076923076923,"Violett","used"
"Woom Kinderfahrrad 3 blau","1140 Wien, 14. Bezirk, Penzing","Zuletzt geändert:,23.06.2024, 21:16 Uhr","€ 370","Privatperson","Felgenbremse,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Verkaufen unser woom Rad, Größe 3 in blau. Inkl Seitenständer, Sitz verstellbar mit schnellspanner und Glocke.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-kinderfahrrad-3-blau-1566139034/",634,370,1140,"1140 Wien",3,"Blau","2024-06-23 21:16:00",1719177360,0,"used",0,0,1140,48.2047495391897,16.2637909521759,91,192,178,0,5.91350300563827,0.0541516245487365,"Blau","used"
"Kinder Fahrrad woom 5 24 black top Kinder Fahrrad + ständer","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,23.06.2024, 21:48 Uhr","€ 530","Privatperson","Kettenschaltung,Trommelbremse,37 cm,24 Zoll,Schwarz,Neuwertig,Selbstabholung, Versand","Top Kinder Fahrrad woom 5 24 black","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-fahrrad-woom-5-24-black-top-kinder-fahrrad-staender-2003532010/",635,530,1210,"1210 Wien",5,"Andere","2024-06-23 21:48:00",1719179280,0,"as good as new",1,0,1210,48.2678639,16.3845716,86,163,156,0,6.27287700654617,0.0601202404809619,"Andere","as good as new"
"(reserviert) Woom 2 Kinderfahrrad","1220 Wien, 22. Bezirk, Donaustadt","Zuletzt geändert:,29.06.2024, 20:49 Uhr","€ 300","Privatperson","Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-kinderfahrrad-2004643120/",636,300,1220,"1220 Wien",2,"Rot","2024-06-29 20:49:00",1719694140,0,"used",0,0,1220,48.2152329,16.4840611,97,164,158,0,5.7037824746562,0.0561797752808989,"Rot","used"
"Woom 3","Lilienfeld, Niederösterreich","Zuletzt geändert:,23.06.2024, 20:02 Uhr","€ 320","","Rot,Gebraucht,Selbstabholung","Verkaufe ein Woom 3 mit Seitenständer. Normale Gebrauchsspuren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1521838828/",640,320,NA,"Lilienfeld",3,"Rot","2024-06-23 20:02:00",1719172920,0,"used",0,1,3180,48.0113436794644,15.5872181238132,1,13,176,0,5.76832099579377,0.288461538461538,"Rot","used"
"WOOM Kinderfahrrad Große 2/14""","Korneuburg, Niederösterreich","Zuletzt geändert:,26.06.2024, 01:00 Uhr","€ 300","","bis 35 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","Das superleichte und innovative Allround-Kinderfahrrad in 14 Zoll für Kinder ab drei Jahren","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-kinderfahrrad-grosse-2-14-858613777/",642,300,NA,"Korneuburg",2,"Grün","2024-06-26 01:00:00",1719363600,0,"used",0,1,2100,48.3660693284712,16.3225613038421,9,259,134,0,5.7037824746562,0.084985835694051,"Grün","used"
"WOOM 3 LILA / PURPLE HAZE inkl. Seitenständer und Gepäckträger","1140 Wien, 14. Bezirk, Penzing","Zuletzt geändert:,26.06.2024, 14:22 Uhr","€ 320","Privatperson","Felgenbremse,bis 16 Zoll,Violett,Gebraucht,Selbstabholung","Wir verkaufen unser 2021 erworbenes Woom 3 lila / purple haze inkl Seitenständer und Gepäckträger (ohne Schaltung).","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-purple-haze-inkl-seitenstaender-und-gepaecktraeger-1081862908/",643,320,1140,"1140 Wien",3,"Violett","2024-06-26 14:22:00",1719411720,0,"used",0,0,1140,48.2047495391897,16.2637909521759,91,192,178,0,5.76832099579377,0.0541516245487365,"Violett","used"
