"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameSizeRadius0To10_i","AnzahlSameSizeRadius10To30_i","AnzahlSameSizeRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Neuwertig Kinder Fahrrad woom 3 16 zoll Green","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,05.07.2024, 19:37 Uhr","€ 340","Privatperson","Tretlagerschaltung,Trommelbremse,bis 35 cm,bis 16 Zoll,Grün,Neuwertig,Selbstabholung, Versand","Neuwertig Kinder Fahrrad woom 3 16 zoll Green top Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/neuwertig-kinder-fahrrad-woom-3-16-zoll-green-2029285197/",54,340,1210,"1210 Wien",3,"Grün","2024-07-05 19:37:00",1720208220,0,"as good as new",1,0,1210,48.2678639,16.3845716,86,163,156,0,5.82894561761021,0.0601202404809619,"Grün","as good as new"
"Woom 2 Kinderfahrrad Fahrrad Kinder","Weiz, Steiermark","Zuletzt geändert:,05.07.2024, 19:30 Uhr","€ 295","","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-kinderfahrrad-fahrrad-kinder-1076307188/",57,295,NA,"Weiz",2,"Rot","2024-07-05 19:30:00",1720207800,0,"used",0,1,8160,47.2086261,15.6534885454484,0,30,40,0,5.68697535633982,0.6,"Rot","used"
"Kinder Fahrrad Woom 5 24 Zoll black up Edition black","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,05.07.2024, 19:31 Uhr","€ 530","Privatperson","Kettenschaltung,Trommelbremse,36 cm,24 Zoll,Schwarz,Neuwertig,Selbstabholung, Versand","Woom 5 up black Edition","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-fahrrad-woom-5-24-zoll-black-up-edition-black-1727596620/",58,530,1210,"1210 Wien",5,"Andere","2024-07-05 19:31:00",1720207860,0,"as good as new",1,0,1210,48.2678639,16.3845716,86,163,156,0,6.27287700654617,0.0601202404809619,"Andere","as good as new"
"Top Kinder Fahrrad woom 3 16 zoll blau","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,05.07.2024, 19:27 Uhr","€ 330","Privatperson","Kettenschaltung,Trommelbremse,bis 35 cm,bis 16 Zoll,Blau,Neuwertig,Selbstabholung, Versand","Kinder Fahrrad woom 3 16 zoll blau","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/top-kinder-fahrrad-woom-3-16-zoll-blau-1115521843/",59,330,1210,"1210 Wien",3,"Blau","2024-07-05 19:27:00",1720207620,0,"as good as new",1,0,1210,48.2678639,16.3845716,86,163,156,0,5.79909265446053,0.0601202404809619,"Blau","as good as new"
"Kinderfahrrad Woom 3","Vöcklabruck, Oberösterreich","Zuletzt geändert:,05.07.2024, 19:02 Uhr","€ 365","","Felgenbremse,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Verkaufe Kinderfahrrad Woom 3 in sehr gutem Zustand, selten gefahren","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-3-1221591520/",60,365,NA,"Vöcklabruck",3,"Blau","2024-07-05 19:02:00",1720206120,0,"used",0,1,4840,48.0198599,13.649025,5,23,69,0,5.89989735358249,0.413793103448276,"Blau","used"
"Woom 3 in Lila","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,05.07.2024, 18:50 Uhr","€ 380","","bis 16 Zoll,Violett,Gebraucht,Selbstabholung","Ich verkaufe das Woom 3 in Lila da es meiner Tochter schon zu klein ist.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-lila-1235986018/",62,380,NA,"Bruck an der Leitha",3,"Violett","2024-07-05 18:50:00",1720205400,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,0,5.94017125272043,0.136674259681093,"Violett","used"
"Woom 3 blau mit Seitenständer.","8010 Graz","Zuletzt geändert:,05.07.2024, 17:16 Uhr","€ 250","Privatperson","Felgenbremse,bis 16 Zoll,Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-mit-seitenstaender-1553316036/",68,250,8010,"8010 Graz",3,"Blau","2024-07-05 17:16:00",1720199760,0,"as good as new",0,0,8010,47.07213787521,15.4531645759067,11,30,39,0,5.52146091786225,0.363636363636364,"Blau","as good as new"
"Woom 5 Fahrrad","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,05.07.2024, 17:33 Uhr","€ 450","","Kettenschaltung,Felgenbremse,24 Zoll,Türkis,Gebraucht,Selbstabholung","Verkaufen unser Woom 5 Fahrrad in sehr gutem Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-fahrrad-1402453731/",69,450,NA,"Bruck an der Leitha",5,"Andere","2024-07-05 17:33:00",1720200780,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,0,6.10924758276437,0.136674259681093,"Andere","used"
"Woom 5 in türkis","Baden, Niederösterreich","Zuletzt geändert:,05.07.2024, 16:46 Uhr","€ 500","","Kettenschaltung,Felgenbremse,24 Zoll,Türkis,Gebraucht,Selbstabholung","Verkaufe Woom 5 in der Farbe Türkis mit Fahrradständer. Rad ist in einem guten Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-in-tuerkis-943814511/",72,500,NA,"Baden",5,"Andere","2024-07-05 16:46:00",1720197960,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,0,6.21460809842219,0.087463556851312,"Andere","used"
"WOOM Original 1 Kinderfahrrad","1030 Wien, 03. Bezirk, Landstraße","Zuletzt geändert:,05.07.2024, 17:11 Uhr","€ 180","Privatperson","Felgenbremse,bis 16 Zoll,Gelb,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-1-kinderfahrrad-1854504537/",74,180,1030,"1030 Wien",1,"Gelb","2024-07-05 17:11:00",1720199460,0,"used",0,0,1030,48.1995445102805,16.3922565028478,167,140,139,0,5.19295685089021,0.0422237860661506,"Gelb","used"
