"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameProductsRadius0To10_i","AnzahlSameProductsRadius10To30_i","AnzahlSameProductsRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 4 ROT","3443 Sieghartskirchen","Zuletzt geändert:,01.07.2024, 16:00 Uhr","€ 350","Privatperson","Rot,Gebraucht,Selbstabholung","Woom 4 rot und blau gebraucht zu verkaufen - inklusive Flaschenhalter u Ständer. Leichte Mängel siehe Fotos.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-rot-1953635794/",320,350,3443,"3443 Sieghartskirchen",4,"Rot","2024-07-01 16:00:00",1719849600,0,"used",0,0,3443,48.2201722,15.9823466492243,3,66,79,0,5.85793315448346,0.262008733624454,"Rot","used"
"Woom 4","6414 Barwies","Zuletzt geändert:,01.07.2024, 15:20 Uhr","€ 450","Privatperson","Kettenschaltung,Felgenbremse,20 Zoll,Gelb,Gebraucht,Selbstabholung","Sehr gepflegtes Fahrrad. 1Saison von 1Kind gefahren. Rechnung und Garantie vorhanden.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-1346173339/",321,450,6414,"6414 Barwies",4,"Gelb","2024-07-01 15:20:00",1719847200,0,"used",0,0,6414,47.3035191314909,10.9741125392635,1,3,5,0,6.10924758276437,3.52941176470588,"Gelb","used"
"Woom 3 Kinderfahrrad","1220 Wien, 22. Bezirk, Donaustadt","Zuletzt geändert:,01.07.2024, 15:11 Uhr","€ 350","Privatperson","Gelb,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-780409241/",323,350,1220,"1220 Wien",3,"Gelb","2024-07-01 15:11:00",1719846660,0,"used",0,0,1220,48.2152329,16.4840611,60,55,18,0,5.85793315448346,0.122950819672131,"Gelb","used"
"Woom 3","4407 Dietach","Zuletzt geändert:,01.07.2024, 11:33 Uhr","€ 400","Privatperson","36 cm,bis 16 Zoll,Grün,Neuwertig,Selbstabholung","Verkaufe ein Woom 3 sehr selten gefahren","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2036150005/",327,400,4407,"4407 Dietach",3,"Grün","2024-07-01 11:33:00",1719833580,0,"as good as new",0,0,4407,48.091551,14.4167732534252,1,6,13,0,5.99146454710798,1.93548387096774,"Grün","as good as new"
"Woom 3","4860 Alt Lenzing","Zuletzt geändert:,01.07.2024, 13:09 Uhr","€ 350","Privatperson","Rot,Gebraucht,Selbstabholung, Versand","Verkaufen gebrauchtes aber gut erhaltenes woom 3 in rot mit Helm gr m","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1957831007/",328,350,4860,"4860 Alt Lenzing",3,"Rot","2024-07-01 13:09:00",1719839340,0,"used",1,0,4860,47.9748068154865,13.615868883187,1,7,12,0,5.85793315448346,1.875,"Rot","used"
"Woom 4","1050 Wien, 05. Bezirk, Margareten","Zuletzt geändert:,01.07.2024, 07:08 Uhr","€ 400","Privatperson","Gelb,Gebraucht,Selbstabholung","Woom 4","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-1501974797/",340,400,1050,"1050 Wien",4,"Gelb","2024-07-01 07:08:00",1719817680,0,"used",0,0,1050,48.1873463674578,16.3559875617053,109,24,18,0,5.99146454710798,0.0833333333333333,"Gelb","used"
"Woom 3 Original","2551 Enzesfeld-Lindabrunn","Zuletzt geändert:,30.06.2024, 20:31 Uhr","€ 350","Privatperson","bis 16 Zoll,Rot,Neuwertig,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-original-1409775481/",351,350,2551,"2551 Enzesfeld-Lindabrunn",3,"Rot","2024-06-30 20:31:00",1719779460,0,"as good as new",1,0,2551,47.9195670977776,16.1840741112419,0,28,126,0,5.85793315448346,0.32967032967033,"Rot","as good as new"
"(reserviert) Woom 3 rot","1180 Wien, 18. Bezirk, Währing","Zuletzt geändert:,06.07.2024, 11:53 Uhr","€ 250","Privatperson","Rot,Gebraucht,Selbstabholung","Woom 3 in rot","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-1284301670/",352,250,1180,"1180 Wien",3,"Rot","2024-07-06 11:53:00",1720266780,1,"used",0,0,1180,48.2308501342523,16.3262057036828,75,57,18,0,5.52146091786225,0.103092783505155,"Rot","used"
"Woom 3","1070 Wien, 07. Bezirk, Neubau","Zuletzt geändert:,30.06.2024, 19:31 Uhr","€ 330","Privatperson","Felgenbremse,Rot,Gebraucht,Selbstabholung, Versand","Verkaufe gut erhalten Woom 3 Bike, Reifen befinden sich in einen guten Zustand,,…","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1847017018/",355,330,1070,"1070 Wien",3,"Rot","2024-06-30 19:31:00",1719775860,0,"used",1,0,1070,48.2035315,16.3558844,108,25,17,0,5.79909265446053,0.0839160839160839,"Rot","used"
"Woom 1 rot","8054 Graz","Zuletzt geändert:,30.06.2024, 18:05 Uhr","€ 190","Privatperson","Rot,Gebraucht,Selbstabholung, Versand","In sehr guten Zustand, mit leichten Gebrauchsspuren. Fixpreis.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1-rot-1997358870/",358,190,8054,"8054 Graz",1,"Rot","2024-06-30 18:05:00",1719770700,0,"used",1,0,8054,47.0205089446777,15.3995083357494,15,10,8,1,5.24702407216049,0.508474576271186,"Rot","used"
"Woom 3","4274 Oberndorf","Zuletzt geändert:,30.06.2024, 17:47 Uhr","€ 320","Privatperson","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1471623621/",359,320,4274,"4274 Oberndorf",3,"Rot","2024-06-30 17:47:00",1719769620,0,"used",0,0,4274,48.4024755290286,14.7029508243997,0,2,18,0,5.76832099579377,2.72727272727273,"Rot","used"
"(reserviert) Woom 2 Fahrrad","6230 Brixlegg","Zuletzt geändert:,01.07.2024, 19:35 Uhr","€ 270","Privatperson","Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-fahrrad-1143574035/",373,270,6230,"6230 Brixlegg",2,"Violett","2024-07-01 19:35:00",1719862500,0,"used",0,0,6230,47.4278954677024,11.8842303329105,1,7,9,0,5.59842195899838,2.06896551724138,"Violett","used"
"Woom 3 lila Kinderfahrrad","9523 Neulandskron","Zuletzt geändert:,04.07.2024, 15:40 Uhr","€ 260","Privatperson","Felgenbremse,Violett,Gebraucht,Selbstabholung","Servicegepflegtes Woom 3 zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-kinderfahrrad-1685304614/",378,260,9523,"9523 Neulandskron",3,"Violett","2024-07-04 15:40:00",1720107600,0,"used",0,0,9523,46.6370974136841,13.9018783612624,1,5,15,0,5.56068163101553,1.93548387096774,"Violett","used"
"Woom 2","1120 Wien, 12. Bezirk, Meidling","Zuletzt geändert:,04.07.2024, 20:00 Uhr","€ 300","Privatperson","Tretlagerschaltung,Felgenbremse,bis 16 Zoll,Mehrfarbig,Gebraucht,Selbstabholung","Verkaufe Woom 2 in sehr gutem Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1204611596/",379,300,1120,"1120 Wien",2,"Andere","2024-07-04 20:00:00",1720123200,0,"used",0,0,1120,48.180259,16.3313609,71,60,18,0,5.7037824746562,0.106382978723404,"Andere","used"
