"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i"
"Woom 4 in der Farbe gelb , voll ausgestattet","","Zuletzt geändert:,30.05.2024, 07:55 Uhr","€ 510","","Gelb,Neuwertig,Selbstabholung","Zum Verkauf gelangt ein Fahrrad der Marke Woom in der gelben Farbe, voll ausgestattet ( Klingel, Reflektoren, Seitenständer, Schutzbleche, Gepäckträger). Nur das gesamte Zubehör kostet über 100€. Hier im Preis inkludiert. Das Fahrrad wurde kurz vor dem Winter benutzt.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-in-der-farbe-gelb-voll-ausgestattet-1187921352/",1321,510,NA,"","4","Gelb",2024-05-30 07:55:00,1717055700,0,"as good as new",0,1
"Woom 5 off Air","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,29.05.2024, 21:13 Uhr","€ 849","Privatperson","Kettenschaltung,Scheibenbremse,24 Zoll,Schwarz,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-off-air-1130999649/",1322,849,"1210","1210 Wien","5","Andere",2024-05-29 21:13:00,1717017180,0,"as good as new",0,0
"Woom 4 neu","Tulln, Niederösterreich","Zuletzt geändert:,29.05.2024, 20:21 Uhr","€ 470","","Kettenschaltung,Felgenbremse,20 Zoll,Rot,Neu,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-neu-1651368404/",1324,470,NA,"Tulln","4","Rot",2024-05-29 20:21:00,1717014060,0,"good",0,1
"Woom","Baden, Niederösterreich","Zuletzt geändert:,07.06.2024, 12:53 Uhr","€ 30","","Blau,Gebraucht,Selbstabholung, Versand","Guten Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1679939929/",1325,30,NA,"Baden",NA,"Blau",2024-06-07 12:53:00,1717764780,0,"used",1,1
"Kinderfahrrad woom3","3400 Kierling","Zuletzt geändert:,29.05.2024, 17:27 Uhr","€ 350","Privatperson","Felgenbremse,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom3-971754528/",1326,350,"3400","3400 Kierling",NA,"Grün",2024-05-29 17:27:00,1717003620,0,"used",0,0
"Woom 3 blau","1190 Wien, 19. Bezirk, Döbling","Zuletzt geändert:,29.05.2024, 18:55 Uhr","€ 320","Privatperson","bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Gern gefahrenes Woom 3 mit Getränkehalter sowie Fahrradständer","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-1334399439/",1327,320,"1190","1190 Wien","3","Blau",2024-05-29 18:55:00,1717008900,0,"used",0,0
"Woom SNAP Steckschutzbleche für Woom 4, Woom 5, Woom 6","9900 Lienz","Zuletzt geändert:,29.05.2024, 16:17 Uhr","","","Schwarz,Neu,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-snap-steckschutzbleche-fuer-woom-4-woom-5-woom-6-739183929/",1328,NA,"9900","9900 Lienz","4","Andere",2024-05-29 16:17:00,1716999420,0,"good",1,1
"Woom 4, Kinderfahrrad, 8 Gänge","Salzburg Stadt, Salzburg","Zuletzt geändert:,07.06.2024, 13:15 Uhr","€ 490","","20 Zoll,Rot,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-8-gaenge-744684662/",1329,490,NA,"Salzburg Stadt","4","Rot",2024-06-07 13:15:00,1717766100,0,"as good as new",0,1
"Woom 3 - NEU","9800 Spittal an der Drau","Zuletzt geändert:,29.05.2024, 15:55 Uhr","€ 379","Unternehmen","bis 16 Zoll,Rot,Neu,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-neu-1823840128/",1330,379,"9800","9800 Spittal an der Drau","3","Rot",2024-05-29 15:55:00,1716998100,0,"good",1,1
"Woom 3 - NEU","9800 Spittal an der Drau","Zuletzt geändert:,29.05.2024, 15:58 Uhr","€ 379","Unternehmen","bis 16 Zoll,Blau,Neu,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-neu-1273556886/",1331,379,"9800","9800 Spittal an der Drau","3","Blau",2024-05-29 15:58:00,1716998280,0,"good",1,1
"Woom Fahrrad 3","","Zuletzt geändert:,27.06.2024, 13:52 Uhr","€ 335","","Kettenschaltung,Felgenbremse,bis 16 Zoll,Grün,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-fahrrad-3-1587189168/",1332,335,NA,"","3","Grün",2024-06-27 13:52:00,1719496320,0,"used",1,1
"Woom 3 mit Zubehör und Ständer","8962 Mitterberg","Zuletzt geändert:,29.05.2024, 09:25 Uhr","€ 370","Privatperson","Violett,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-mit-zubehoer-und-staender-1932836441/",1333,370,"8962","8962 Mitterberg","3","Violett",2024-05-29 09:25:00,1716974700,0,"as good as new",0,0
"Genesis 12 Zoll Fahrrad Kinderrad Rad Bike Kinder Kids Stützrad","Steiermark","Zuletzt geändert:,17.06.2024, 22:01 Uhr","€ 35","","Felgenbremse,bis 16 Zoll,Rosa,Gebraucht,Selbstabholung, Versand","Verkaufen unser gebrauchtes Kinderfahrrad","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/genesis-12-zoll-fahrrad-kinderrad-rad-bike-kinder-kids-stuetzrad-1030471735/",1334,35,NA,"Steiermark",NA,"Andere",2024-06-17 22:01:00,1718661660,0,"used",1,1
"Woom 3 grün neuwertig","Kufstein, Tirol","Zuletzt geändert:,29.05.2024, 08:05 Uhr","€ 380","","bis 16 Zoll,Grün,Neuwertig,Selbstabholung, Versand","Kaum gefahrenes Woom 3 in grün","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gruen-neuwertig-1203427479/",1335,380,NA,"Kufstein","3","Grün",2024-05-29 08:05:00,1716969900,0,"as good as new",1,1
"Woom 3 neu blau","Kufstein, Tirol","Zuletzt geändert:,29.05.2024, 08:16 Uhr","€ 420","","bis 16 Zoll,Blau,Neu,Selbstabholung, Versand","Woom 3 in blau - originalverpackt im Karton","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-neu-blau-1658474950/",1336,420,NA,"Kufstein","3","Blau",2024-05-29 08:16:00,1716970560,0,"good",1,1
